sex,age_cat,race,score
Female,Greater than 45,African-American,0.9078960322738804
Male,Greater than 45,Caucasian,0.9078960298781864
Male,Greater than 45,Hispanic,0.9078959939838015
Male,Greater than 45,Other,0.9078959631665772
Male,25 - 45,Caucasian,0.907895961069665
Male,25 - 45,Caucasian,0.907895953868104
Female,Greater than 45,Caucasian,0.9078959527719991
Male,25 - 45,African-American,0.9078959454823231
Male,25 - 45,Other,0.9078959450834693
Female,25 - 45,Caucasian,0.9078959036210354
Male,Greater than 45,Caucasian,0.9078959007734728
Female,25 - 45,African-American,0.9078958945275474
Female,Greater than 45,Caucasian,0.9078958923007329
Male,25 - 45,African-American,0.9078958895483871
Male,Greater than 45,Caucasian,0.9078958744836353
Male,25 - 45,Caucasian,0.9078958682045832
Male,25 - 45,Caucasian,0.9078958620154015
Male,25 - 45,Hispanic,0.9078958620004199
Male,Greater than 45,Other,0.907895854043219
Male,Greater than 45,Caucasian,0.9078958498778456
Male,25 - 45,African-American,0.9078958435276577
Male,Greater than 45,African-American,0.9078958406608821
Female,25 - 45,Caucasian,0.907895837362583
Male,Greater than 45,Caucasian,0.9078958310935448
Male,Greater than 45,Caucasian,0.9078958302966663
Male,25 - 45,African-American,0.907895826237942
Male,Greater than 45,Caucasian,0.9078958247241835
Male,25 - 45,Caucasian,0.9078957946892291
Male,25 - 45,Hispanic,0.9078957920114494
Male,Greater than 45,Other,0.9078957897372583
Female,Greater than 45,Caucasian,0.9078957842264243
Female,25 - 45,Hispanic,0.9078957804512582
Male,25 - 45,African-American,0.9078957796659002
Female,Greater than 45,African-American,0.9078957730390577
Male,Greater than 45,Caucasian,0.9078957694467152
Male,25 - 45,Hispanic,0.9078957680710283
Male,25 - 45,Hispanic,0.9078957668723865
Male,25 - 45,Caucasian,0.9078957655893876
Male,25 - 45,Caucasian,0.9078957637228096
Female,Greater than 45,Other,0.9078957622459062
Female,25 - 45,Hispanic,0.9078957613887161
Male,Greater than 45,Caucasian,0.9078957559947647
Male,Greater than 45,Caucasian,0.9078957454077228
Female,Greater than 45,Caucasian,0.9078957418643708
Male,Greater than 45,Caucasian,0.9078957353304912
Male,Greater than 45,Caucasian,0.9078957141021309
Male,25 - 45,African-American,0.9078957115454759
Male,25 - 45,Hispanic,0.907895687955623
Female,25 - 45,Other,0.907895663430687
Female,25 - 45,Caucasian,0.9078956582775409
Male,25 - 45,Caucasian,0.907895656888337
Female,25 - 45,Other,0.9078956550460462
Male,25 - 45,African-American,0.9078956225088826
Male,Greater than 45,African-American,0.9078956203609028
Male,25 - 45,African-American,0.9078956082761297
Male,25 - 45,Caucasian,0.9078956070173785
Female,Greater than 45,Caucasian,0.9078956004681468
Male,25 - 45,Caucasian,0.9078955948913372
Female,25 - 45,Caucasian,0.9078955947379069
Female,Greater than 45,Caucasian,0.9078955894066414
Female,Greater than 45,Other,0.9078955849084441
Male,Greater than 45,Caucasian,0.9078955769161424
Male,Greater than 45,Caucasian,0.9078955730155677
Male,Greater than 45,Caucasian,0.9078955689278413
Female,25 - 45,Other,0.9078955655016753
Male,Greater than 45,Caucasian,0.9078955625026057
Male,Greater than 45,Caucasian,0.9078955472662376
Male,Greater than 45,Asian,0.9078955458164268
Male,25 - 45,African-American,0.9078955446976608
Male,25 - 45,Hispanic,0.9078955300985734
Male,25 - 45,African-American,0.9078955291427977
Male,Greater than 45,Caucasian,0.9078955232620228
Male,25 - 45,Other,0.9078955204959279
Male,25 - 45,Other,0.9078955191964955
Male,Greater than 45,African-American,0.9078955130819014
Male,25 - 45,Caucasian,0.9078955027955905
Male,Greater than 45,Caucasian,0.9078954986124271
Male,Greater than 45,Caucasian,0.9078954985694891
Male,25 - 45,Caucasian,0.9078954978017212
Female,Greater than 45,Caucasian,0.9078954920623705
Male,Greater than 45,African-American,0.9078954901528807
Male,Greater than 45,African-American,0.9078954865729846
Male,25 - 45,Hispanic,0.9078954711157923
Male,Greater than 45,Caucasian,0.9078954661414883
Male,Greater than 45,Caucasian,0.9078954626440271
Male,25 - 45,African-American,0.9078954527776273
Male,25 - 45,African-American,0.9078954516603542
Male,Greater than 45,Hispanic,0.9078954500302187
Female,Greater than 45,Caucasian,0.9078954428870672
Male,Greater than 45,African-American,0.9078954352319646
Male,25 - 45,Caucasian,0.9078954263642139
Male,Greater than 45,Other,0.9078954251311012
Male,25 - 45,Other,0.9078953949419093
Male,Greater than 45,African-American,0.9078953925352754
Female,25 - 45,Hispanic,0.9078953909773502
Male,Greater than 45,Caucasian,0.9078953851959418
Female,Greater than 45,African-American,0.9078953675348441
Male,Greater than 45,Caucasian,0.9078953590215565
Male,Greater than 45,Caucasian,0.9078953588916309
Male,Greater than 45,African-American,0.9078953576772886
Male,25 - 45,Caucasian,0.9078953525840663
Female,25 - 45,African-American,0.9078953466877824
Male,25 - 45,Caucasian,0.9078953456422562
Female,Greater than 45,Caucasian,0.9078953442681253
Male,Greater than 45,African-American,0.9078953422490614
Male,Greater than 45,Hispanic,0.9078953377075591
Male,25 - 45,Caucasian,0.907895313064838
Male,Greater than 45,Caucasian,0.9078953119027455
Male,Greater than 45,Hispanic,0.9078953107996081
Male,Greater than 45,Caucasian,0.907895302359212
Female,Greater than 45,Caucasian,0.9078952979714048
Male,25 - 45,Caucasian,0.9078952974015002
Female,25 - 45,Other,0.9078952924391693
Male,25 - 45,African-American,0.9078952888462298
Male,25 - 45,Other,0.907895287157206
Male,Greater than 45,African-American,0.9078952863644096
Male,Greater than 45,Other,0.9078952817522095
Male,25 - 45,Caucasian,0.9078952646228291
Male,Greater than 45,African-American,0.9078952588244303
Male,Greater than 45,Caucasian,0.9078952519520264
Male,Greater than 45,Caucasian,0.9078952518367699
Male,Greater than 45,Caucasian,0.9078952486392665
Female,Greater than 45,African-American,0.9078952478425373
Female,25 - 45,African-American,0.9078952367298677
Male,25 - 45,African-American,0.9078952337207061
Male,Greater than 45,Other,0.9078952220164708
Male,25 - 45,Caucasian,0.9078952057535405
Male,Greater than 45,Hispanic,0.907895203710074
Male,Greater than 45,African-American,0.9078952022463528
Male,25 - 45,African-American,0.9078952006947868
Male,Greater than 45,Caucasian,0.9078951978951689
Female,25 - 45,African-American,0.9078951949923372
Female,25 - 45,Caucasian,0.9078951919942879
Male,25 - 45,Hispanic,0.9078951919887099
Male,Greater than 45,Caucasian,0.9078951786658868
Male,25 - 45,Hispanic,0.9078951692593757
Female,25 - 45,African-American,0.9078951685794875
Female,Greater than 45,Caucasian,0.9078951669484301
Male,25 - 45,Caucasian,0.9078951597104746
Male,25 - 45,Other,0.9078951568885774
Female,25 - 45,Caucasian,0.9078951526578415
Male,Greater than 45,Caucasian,0.9078951485331516
Male,25 - 45,Caucasian,0.9078951475483603
Male,Greater than 45,Caucasian,0.9078951472313209
Male,Greater than 45,Caucasian,0.9078951462518848
Male,25 - 45,Caucasian,0.907895139899877
Female,Greater than 45,Caucasian,0.9078951278989859
Male,25 - 45,African-American,0.907895123319747
Male,25 - 45,African-American,0.9078951229109512
Female,Greater than 45,Caucasian,0.907895122590331
Male,Greater than 45,Caucasian,0.9078951192658737
Male,25 - 45,Hispanic,0.9078951164975702
Female,25 - 45,African-American,0.9078951159250521
Male,Greater than 45,Hispanic,0.9078951156111043
Female,25 - 45,Caucasian,0.9078951116577982
Male,Greater than 45,Other,0.9078951115233596
Male,25 - 45,African-American,0.9078951081467046
Female,Greater than 45,Hispanic,0.9078951037449873
Male,25 - 45,Caucasian,0.9078951028513863
Male,Greater than 45,Other,0.9078951009511438
Female,25 - 45,Caucasian,0.9078950968725754
Male,25 - 45,Caucasian,0.9078950957258473
Male,25 - 45,Other,0.9078950952628716
Female,Greater than 45,Caucasian,0.9078950904461666
Male,25 - 45,Other,0.9078950902939572
Male,Greater than 45,Caucasian,0.9078950902520735
Female,Greater than 45,Other,0.9078950900693441
Male,Greater than 45,Caucasian,0.9078950892682607
Male,25 - 45,African-American,0.9078950806337893
Male,25 - 45,Hispanic,0.9078950747656428
Female,Greater than 45,Caucasian,0.9078950735992927
Male,Greater than 45,Caucasian,0.9078950639054002
Male,25 - 45,African-American,0.9078950627276898
Male,25 - 45,Hispanic,0.9078950592728062
Male,25 - 45,Caucasian,0.907895058995681
Male,Greater than 45,Caucasian,0.9078950485274142
Female,Greater than 45,Caucasian,0.9078950480262157
Female,Greater than 45,Caucasian,0.9078950426912737
Male,25 - 45,African-American,0.9078950424146468
Male,25 - 45,Caucasian,0.9078950371233702
Male,Greater than 45,Hispanic,0.9078950359386648
Female,Greater than 45,Caucasian,0.9078950295848236
Male,Greater than 45,Other,0.9078950293251029
Male,25 - 45,Caucasian,0.9078950275233195
Male,25 - 45,Caucasian,0.9078950275050274
Female,25 - 45,Other,0.9078950249200392
Male,25 - 45,African-American,0.9078950203073426
Male,Greater than 45,Caucasian,0.907895011299725
Male,25 - 45,African-American,0.9078950039410661
Male,25 - 45,Other,0.9078950022016913
Male,25 - 45,African-American,0.9078950004087692
Female,25 - 45,Caucasian,0.9078949959633557
Male,25 - 45,Caucasian,0.9078949945175946
Male,Greater than 45,Other,0.907894993324925
Female,Greater than 45,Hispanic,0.9078949913283678
Female,Greater than 45,Caucasian,0.9078949881264671
Female,Greater than 45,Hispanic,0.9078949832581118
Female,25 - 45,Caucasian,0.9078949798252134
Female,25 - 45,Other,0.9078949710469298
Male,Greater than 45,Hispanic,0.9078949703159788
Male,Greater than 45,Caucasian,0.9078949700543818
Male,Greater than 45,African-American,0.9078949700221538
Male,Greater than 45,African-American,0.907894967314982
Female,Greater than 45,African-American,0.9078949647434924
Male,25 - 45,Hispanic,0.9078949582359106
Male,25 - 45,Hispanic,0.9078949434933776
Female,25 - 45,Caucasian,0.9078949415049755
Female,Greater than 45,Caucasian,0.9078949371274391
Male,25 - 45,African-American,0.9078949328552832
Male,25 - 45,Other,0.9078949304842917
Female,Greater than 45,Caucasian,0.9078949284271371
Female,Greater than 45,Caucasian,0.9078949205144806
Female,Greater than 45,Caucasian,0.9078949190132206
Male,Greater than 45,African-American,0.9078949148859349
Male,Greater than 45,African-American,0.9078949141274119
Male,Greater than 45,Hispanic,0.9078949107701495
Female,Greater than 45,Other,0.9078949098152147
Male,Greater than 45,Caucasian,0.9078949067878495
Female,25 - 45,African-American,0.9078949067146562
Female,25 - 45,Caucasian,0.9078949045527103
Male,25 - 45,Other,0.9078948909337428
Male,25 - 45,Caucasian,0.9078948885546136
Male,25 - 45,African-American,0.9078948881581353
Male,Greater than 45,Caucasian,0.9078948646932511
Male,Greater than 45,Caucasian,0.9078948645917327
Male,25 - 45,African-American,0.9078948526139717
Male,25 - 45,Caucasian,0.9078948516360104
Female,Greater than 45,African-American,0.907894845972663
Male,Greater than 45,Caucasian,0.907894839167567
Male,Greater than 45,Caucasian,0.9078948314922861
Male,Greater than 45,Caucasian,0.9078948246790411
Male,25 - 45,Caucasian,0.9078948238969655
Male,25 - 45,Hispanic,0.9078948238445622
Male,Greater than 45,Caucasian,0.9078948232114344
Female,25 - 45,Other,0.9078948145022572
Male,25 - 45,Other,0.9078948126561078
Male,Greater than 45,Caucasian,0.9078948118858468
Male,25 - 45,Caucasian,0.9078948054341294
Male,Greater than 45,Hispanic,0.9078948001803041
Male,Greater than 45,African-American,0.9078947973429035
Male,Greater than 45,Hispanic,0.9078947944442103
Male,25 - 45,Other,0.9078947895161846
Male,25 - 45,African-American,0.9078947859447194
Male,Greater than 45,Caucasian,0.9078947854881683
Male,Greater than 45,Other,0.9078947805995314
Male,Greater than 45,African-American,0.9078947785192152
Female,25 - 45,Caucasian,0.9078947774448552
Male,Greater than 45,Hispanic,0.9078947770542753
Male,Greater than 45,Asian,0.9078947709739267
Male,Greater than 45,Caucasian,0.9078947696261683
Female,25 - 45,Caucasian,0.9078947666303108
Male,Greater than 45,Caucasian,0.9078947635074841
Male,Greater than 45,Hispanic,0.9078947605935821
Male,25 - 45,Other,0.9078947596894912
Male,25 - 45,Caucasian,0.9078947496071055
Male,25 - 45,Hispanic,0.9078947478473594
Male,25 - 45,Caucasian,0.9078947430595954
Female,Greater than 45,Caucasian,0.9078947304196368
Female,Greater than 45,Caucasian,0.9078947197491664
Male,25 - 45,Caucasian,0.9078947182876629
Male,25 - 45,African-American,0.9078947109229417
Male,Greater than 45,African-American,0.9078947103128449
Male,25 - 45,Hispanic,0.9078947021545575
Male,Greater than 45,Asian,0.9078947016832697
Female,25 - 45,African-American,0.9078946984618546
Male,Greater than 45,African-American,0.9078946963337898
Male,25 - 45,African-American,0.9078946951031923
Male,25 - 45,African-American,0.9078946915236468
Female,Greater than 45,African-American,0.9078946913861059
Male,Greater than 45,African-American,0.9078946846919225
Male,25 - 45,African-American,0.9078946755131281
Female,Greater than 45,Caucasian,0.9078946579086743
Female,25 - 45,Caucasian,0.9078946508971878
Male,Greater than 45,Caucasian,0.9078946487703426
Female,25 - 45,African-American,0.907894647304909
Female,25 - 45,Hispanic,0.9078946446492279
Male,Greater than 45,Hispanic,0.9078946436806359
Female,25 - 45,African-American,0.9078946417219971
Male,25 - 45,Hispanic,0.9078946403773545
Male,Greater than 45,African-American,0.9078946381128014
Male,25 - 45,Caucasian,0.9078946362149551
Female,25 - 45,African-American,0.9078946332352702
Male,Greater than 45,African-American,0.9078946331103799
Male,25 - 45,Caucasian,0.9078946316266833
Male,Greater than 45,African-American,0.907894628115826
Female,Greater than 45,Caucasian,0.9078946272488125
Female,Greater than 45,Caucasian,0.9078946260977678
Male,Greater than 45,African-American,0.9078946217801365
Female,25 - 45,African-American,0.9078946197240758
Male,Greater than 45,African-American,0.9078946162032763
Male,Greater than 45,Caucasian,0.9078946085934041
Male,25 - 45,Hispanic,0.9078946074934369
Male,Greater than 45,Caucasian,0.9078945943009507
Male,Greater than 45,African-American,0.9078945895825109
Female,25 - 45,African-American,0.9078945891606529
Male,Greater than 45,Caucasian,0.9078945811157602
Male,Greater than 45,Hispanic,0.9078945747440084
Male,Greater than 45,Other,0.9078945723214462
Female,Greater than 45,Caucasian,0.9078945586217939
Female,Greater than 45,Hispanic,0.9078945542625374
Male,25 - 45,Hispanic,0.9078945469281567
Female,Greater than 45,Caucasian,0.9078945459629744
Male,25 - 45,Caucasian,0.9078945423839513
Male,25 - 45,Caucasian,0.9078945339054102
Male,25 - 45,African-American,0.9078945316921173
Female,Greater than 45,Caucasian,0.9078945250933871
Female,Greater than 45,Caucasian,0.9078945173196701
Female,Greater than 45,African-American,0.9078945170421496
Male,25 - 45,Hispanic,0.9078945156755869
Female,Greater than 45,Caucasian,0.9078945069865674
Male,Greater than 45,African-American,0.9078945043711374
Male,25 - 45,African-American,0.9078944997653012
Male,25 - 45,Asian,0.9078944987230064
Male,Greater than 45,Hispanic,0.9078944969798882
Male,25 - 45,Caucasian,0.907894489945971
Male,Greater than 45,African-American,0.9078944886740266
Male,25 - 45,Caucasian,0.9078944853493273
Male,25 - 45,Hispanic,0.9078944786295875
Female,Greater than 45,Caucasian,0.9078944609357873
Female,Greater than 45,Caucasian,0.9078944599049066
Male,25 - 45,Caucasian,0.9078944571393247
Female,25 - 45,African-American,0.9078944540926547
Male,Greater than 45,Caucasian,0.907894452772127
Male,Greater than 45,Caucasian,0.9078944527137313
Male,Greater than 45,Caucasian,0.9078944508556702
Male,Greater than 45,Caucasian,0.9078944446956291
Female,Greater than 45,Caucasian,0.907894444418744
Male,Greater than 45,Caucasian,0.9078944431179068
Female,25 - 45,Caucasian,0.9078944412078819
Male,Greater than 45,Caucasian,0.9078944365238512
Female,Greater than 45,Caucasian,0.9078944341571588
Female,Greater than 45,Caucasian,0.9078944312685647
Male,Greater than 45,Caucasian,0.9078944302105795
Female,Greater than 45,Caucasian,0.9078944255370626
Male,25 - 45,African-American,0.9078944236009159
Male,Greater than 45,Hispanic,0.9078944220534363
Female,Greater than 45,Other,0.9078944196185433
Male,Greater than 45,Caucasian,0.9078944082738709
Male,25 - 45,African-American,0.9078944054032925
Male,Greater than 45,Hispanic,0.9078944032294174
Male,25 - 45,Hispanic,0.9078944024447083
Female,Greater than 45,Caucasian,0.9078944012102371
Male,Greater than 45,Caucasian,0.9078943987389763
Male,25 - 45,Caucasian,0.907894398285554
Male,25 - 45,African-American,0.9078943956571521
Male,25 - 45,Asian,0.907894389430185
Male,Greater than 45,Caucasian,0.9078943868733513
Female,25 - 45,African-American,0.9078943858618285
Male,Greater than 45,Caucasian,0.9078943817663843
Female,Greater than 45,Caucasian,0.9078943771858647
Male,25 - 45,Caucasian,0.9078943735340024
Female,Greater than 45,African-American,0.9078943729903165
Male,Greater than 45,Hispanic,0.9078943672881548
Male,Greater than 45,Caucasian,0.907894365957565
Female,25 - 45,Caucasian,0.9078943418698662
Male,Greater than 45,African-American,0.9078943366785789
Male,Greater than 45,Caucasian,0.9078943324228872
Male,Greater than 45,African-American,0.9078943303100603
Female,25 - 45,Hispanic,0.9078943281352609
Male,25 - 45,African-American,0.9078943247003995
Male,25 - 45,Caucasian,0.9078943240196722
Male,25 - 45,Caucasian,0.9078943220117467
Male,Greater than 45,Caucasian,0.9078943156414915
Female,25 - 45,Other,0.9078943123210598
Male,25 - 45,Other,0.9078943108952378
Male,Greater than 45,Caucasian,0.9078943020482682
Female,25 - 45,Caucasian,0.9078942963436771
Male,Greater than 45,Hispanic,0.9078942962670798
Male,25 - 45,African-American,0.9078942926567778
Male,25 - 45,African-American,0.9078942918353763
Male,Greater than 45,African-American,0.9078942873408473
Male,Greater than 45,Asian,0.9078942818255132
Male,25 - 45,African-American,0.9078942731287715
Male,Greater than 45,Caucasian,0.9078942672188258
Male,Greater than 45,Hispanic,0.9078942644999589
Female,25 - 45,African-American,0.9078942603933216
Male,Greater than 45,Caucasian,0.9078942537845136
Male,25 - 45,Caucasian,0.9078942434047496
Female,Greater than 45,Caucasian,0.9078942420743167
Male,Greater than 45,Hispanic,0.9078942410327943
Male,Greater than 45,Caucasian,0.9078942395627965
Male,Greater than 45,African-American,0.9078942187272772
Male,Greater than 45,Other,0.9078942164641202
Male,25 - 45,Caucasian,0.9078942148413932
Female,Greater than 45,Caucasian,0.9078942142726669
Male,Greater than 45,Caucasian,0.9078942092091484
Female,25 - 45,Hispanic,0.9078942050505524
Female,25 - 45,African-American,0.9078941922513295
Male,25 - 45,Asian,0.9078941919090509
Male,Greater than 45,Caucasian,0.9078941916215943
Male,25 - 45,African-American,0.9078941869324224
Male,Greater than 45,Caucasian,0.9078941839398218
Female,25 - 45,Caucasian,0.9078941811245411
Male,25 - 45,Caucasian,0.907894178841932
Female,25 - 45,Caucasian,0.9078941716894581
Male,Greater than 45,African-American,0.9078941643916141
Male,Greater than 45,African-American,0.9078941631485049
Male,Greater than 45,African-American,0.9078941578380418
Female,25 - 45,Hispanic,0.9078941528630919
Male,Greater than 45,Caucasian,0.9078941471081472
Male,25 - 45,Caucasian,0.9078941470418351
Male,25 - 45,Caucasian,0.9078941375866605
Male,Greater than 45,Caucasian,0.907894128428295
Male,25 - 45,Other,0.9078941263450776
Male,25 - 45,Caucasian,0.9078941174761704
Male,25 - 45,African-American,0.9078941173520351
Female,25 - 45,Caucasian,0.9078941120410947
Male,Greater than 45,Caucasian,0.9078941060559091
Male,Greater than 45,Caucasian,0.907894104050403
Male,Greater than 45,Caucasian,0.907894098030546
Male,25 - 45,Caucasian,0.9078940962196734
Male,Greater than 45,Caucasian,0.907894095037861
Male,Greater than 45,Other,0.9078940853793284
Male,Greater than 45,African-American,0.9078940782685542
Male,25 - 45,Other,0.9078940775387621
Male,25 - 45,Hispanic,0.9078940771352549
Male,Greater than 45,Caucasian,0.9078940743366892
Male,Greater than 45,Asian,0.9078940715713387
Male,25 - 45,African-American,0.907894070465731
Female,Greater than 45,Other,0.9078940609675813
Male,25 - 45,Caucasian,0.9078940589258816
Male,Greater than 45,Other,0.9078940549880676
Female,Greater than 45,Caucasian,0.9078940508753228
Male,25 - 45,African-American,0.9078940496939061
Male,25 - 45,Hispanic,0.9078940313166165
Male,Greater than 45,Hispanic,0.9078940298863848
Male,Greater than 45,Caucasian,0.9078940265743783
Male,Greater than 45,Caucasian,0.9078940247839434
Female,25 - 45,Caucasian,0.9078940230955477
Male,Greater than 45,Other,0.90789402064846
Male,Greater than 45,Hispanic,0.9078939991058538
Female,Greater than 45,Caucasian,0.9078939952913201
Male,Greater than 45,Caucasian,0.9078939905153366
Male,Greater than 45,Caucasian,0.9078939894059672
Male,25 - 45,Other,0.907893982635083
Male,Greater than 45,Caucasian,0.9078939801651291
Male,Greater than 45,Caucasian,0.9078939769208001
Female,Greater than 45,Caucasian,0.9078939755988271
Male,Greater than 45,Hispanic,0.9078939739642266
Male,Greater than 45,Caucasian,0.9078939717616379
Female,Greater than 45,Other,0.9078939679453922
Female,25 - 45,Other,0.9078939652879402
Male,Greater than 45,Caucasian,0.9078939652305746
Female,Greater than 45,Caucasian,0.9078939611431327
Female,Greater than 45,Caucasian,0.9078939585075947
Male,Greater than 45,Other,0.9078939458897417
Male,25 - 45,African-American,0.9078939436993093
Female,25 - 45,Caucasian,0.907893939530802
Male,Greater than 45,Other,0.9078939336914311
Male,Greater than 45,Caucasian,0.9078939292086293
Male,Greater than 45,Caucasian,0.9078939242964641
Male,25 - 45,African-American,0.9078939226201794
Male,Greater than 45,Caucasian,0.9078939120728357
Male,Greater than 45,Caucasian,0.9078939069542431
Male,Greater than 45,Caucasian,0.9078939051636337
Female,25 - 45,Other,0.9078938996306886
Female,Greater than 45,Caucasian,0.9078938996124007
Male,25 - 45,Hispanic,0.907893896591324
Male,25 - 45,African-American,0.907893889064653
Male,25 - 45,African-American,0.9078938820384902
Male,Greater than 45,Other,0.907893876908677
Female,Greater than 45,Hispanic,0.9078938690602294
Male,Greater than 45,Hispanic,0.9078938550277397
Male,Greater than 45,Caucasian,0.9078938514232532
Male,25 - 45,Caucasian,0.907893850952075
Male,Greater than 45,African-American,0.9078938507063455
Female,Greater than 45,African-American,0.9078938499697404
Male,Greater than 45,Caucasian,0.9078938155433526
Male,25 - 45,African-American,0.9078938100410933
Male,25 - 45,Caucasian,0.9078938045618893
Male,Greater than 45,Caucasian,0.9078938042868246
Male,25 - 45,Caucasian,0.9078938002237465
Male,Greater than 45,Caucasian,0.9078937844154947
Male,Greater than 45,Other,0.9078937783603163
Female,Greater than 45,Hispanic,0.9078937735500483
Female,Greater than 45,Caucasian,0.9078937719744177
Male,Greater than 45,Caucasian,0.9078937717311636
Male,25 - 45,African-American,0.9078937636984559
Male,Greater than 45,African-American,0.9078937506894195
Male,25 - 45,Hispanic,0.9078937479053625
Male,25 - 45,Other,0.9078937474102348
Male,Greater than 45,Other,0.9078937466137307
Male,Greater than 45,Hispanic,0.9078937360817669
Male,25 - 45,Hispanic,0.9078937333418323
Male,Greater than 45,Caucasian,0.9078937298792094
Male,Greater than 45,Hispanic,0.9078937294041212
Male,25 - 45,Caucasian,0.9078937253712753
Male,Greater than 45,African-American,0.9078937252526063
Female,25 - 45,Caucasian,0.9078937235601384
Male,25 - 45,Caucasian,0.9078937146943973
Male,25 - 45,Caucasian,0.9078937087385693
Male,Greater than 45,Hispanic,0.907893690985804
Male,Greater than 45,Caucasian,0.9078936906799722
Female,25 - 45,Caucasian,0.9078936613385055
Male,Greater than 45,Caucasian,0.9078936521547949
Male,25 - 45,Caucasian,0.9078936455978683
Male,Greater than 45,African-American,0.9078936422936856
Female,25 - 45,Caucasian,0.9078936421693572
Male,25 - 45,Caucasian,0.9078936372375062
Female,25 - 45,Caucasian,0.9078936193002859
Male,25 - 45,Caucasian,0.9078936159830722
Male,25 - 45,Hispanic,0.9078936105573655
Male,Greater than 45,Caucasian,0.9078936088344669
Male,25 - 45,Other,0.9078935986611861
Male,Greater than 45,African-American,0.9078935943590892
Male,25 - 45,African-American,0.907893592923239
Male,Greater than 45,Caucasian,0.9078935836374789
Female,Greater than 45,Caucasian,0.9078935761849201
Male,Greater than 45,Caucasian,0.9078935706056062
Female,Greater than 45,African-American,0.9078935689782922
Male,25 - 45,Caucasian,0.9078935680496076
Female,25 - 45,African-American,0.9078935636354366
Male,Greater than 45,African-American,0.907893553996345
Male,Greater than 45,Caucasian,0.9078935389486292
Male,Greater than 45,Hispanic,0.9078935322251256
Female,Greater than 45,African-American,0.907893525899642
Female,25 - 45,Hispanic,0.9078935191770537
Male,Greater than 45,African-American,0.9078935168002621
Male,25 - 45,Caucasian,0.9078935080508624
Female,25 - 45,Caucasian,0.9078934841550802
Male,Greater than 45,Caucasian,0.9078934752501792
Male,Greater than 45,Hispanic,0.907893459010852
Male,25 - 45,Caucasian,0.9078934545560992
Female,25 - 45,Caucasian,0.9078934523237643
Female,25 - 45,African-American,0.9078934408611813
Male,25 - 45,African-American,0.9078934213222466
Male,25 - 45,Caucasian,0.9078934146067796
Male,Greater than 45,African-American,0.9078934125712815
Male,25 - 45,Other,0.9078934106767746
Female,25 - 45,Caucasian,0.9078934097962649
Male,Greater than 45,Caucasian,0.9078934022742065
Male,25 - 45,Hispanic,0.9078934001271665
Male,25 - 45,Caucasian,0.9078933763877131
Male,25 - 45,Other,0.9078933612066369
